"","FIPS","county","state","Area.name","undereducated","prcntDeaths","prcntBirths","INTERNATIONAL_MIG_2016","rShift","flipped","prcntPopChg","alcohol1980","alcohol2014","alcoholChg1980to2014","drug1980","drug2014","drugChg1980to2014","self1980","self2014","selfChg1980to2014","violence1980","violence2014","violenceChg1980to2014","totalMortality2014","totalSelfMortality2014","prcntGOP12","prcntGOP16","prcntDem12","prcntDem16","popChg15","popEstimate16","whiteNotLatino","black","unemployment","poverty","deaths16","births16","domesticMig16","medianIncome16","stateAbbrv"
"3",10001,"Kent County"," Delaware","Kent County",46.7,0.920722844684528,1.2783684493631,341,3.0193251,1,81.3715279764698,2.15,2.83,31.62,0.79,13.14,1572.48,12.71,15.96,25.56,5.39,5.32,-1.4,37.25,31.93,46.7954972,49.8148223,51.733679,44.90997,1422,174754,65.2,23.3,4.9,NA,1609,2234,456,53994,"DE"
"4",10003,"New Castle County"," Delaware","New Castle County",38.4,0.8333766543396,1.16393087042956,2140,0.465006600000001,0,40.58431373252,5.18,3.63,-29.94,1.72,13.14,665.9,15.69,12.94,-17.54,6.57,7.03,7.13,36.74,29.71,32.2376568,32.7026634,66.3006033,62.3039913,2264,557851,61.6,23.1,4.4,NA,4649,6493,-1721,67246,"DE"
"5",10005,"Sussex County"," Delaware","Sussex County",48.5,1.13088558018656,1.0799980008451,311,3.2575723,0,222.860336312377,2.23,2.24,0.77,0.72,11.62,1511.96,13.2,16.13,22.19,7.23,3.99,-44.76,33.98,29.99,55.9094566,59.1670289,42.8804377,37.1680496,4905,220093,75.6,12.4,4.5,NA,2489,2377,4699,56618,"DE"
"6",1001,"Autauga County"," Alabama","Autauga County",46.7,0.913564166576215,1.20481927710843,15,0.8020531,0,79.5976699591157,2.93,1.45,-50.52,0.67,7.32,998.81,15.53,18.19,17.15,10.14,6.31,-37.77,33.27,26.96,72.6337362,73.4357893,26.5757664,23.956855,440,55278,77.2,17.6,5.1,NA,505,666,266,54487,"AL"
"7",1003,"Baldwin County"," Alabama","Baldwin County",38.7,0.985499424121363,1.11416854208733,169,-0.0382771000000059,0,223.893903396961,2.65,2.53,-4.62,0.7,13.3,1795.87,14.29,18.51,29.52,10.79,5.27,-51.2,39.61,34.34,77.3897491,77.351472,21.5665741,19.5653098,4646,207509,83.5,9.3,5.4,NA,2045,2312,4205,56460,"AL"
"8",1005,"Barbour County"," Alabama","Barbour County",61.1,1.04368743695197,1.0553270737953,-5,3.93386350000001,1,-190.114068441065,3.91,2.72,-30.39,0.66,5.4,722.06,16.08,16.2,0.73,17.38,10.6,-39.04,34.92,24.32,48.3375513,52.2714148,51.2522908,46.6602502,-490,25774,46.8,46.7,8.4,NA,269,272,-488,32884,"AL"
"9",1007,"Bibb County"," Alabama","Bibb County",61.1,0.914593734812,1.28131489418106,20,3.8997831,0,31.8119559934609,2.21,1.22,-44.8,0.53,13.03,2344.39,13.98,19.95,42.74,12.58,9.11,-27.59,43.31,34.2,73.0663806,76.9661637,26.2185675,21.4220393,72,22633,75,21.9,6.5,NA,207,290,-32,43079,"AL"
"10",1009,"Blount County"," Alabama","Blount County",52.9,1.15006427851708,1.17264862235503,62,3.3589644,0,-4.86432021125048,1.43,1.31,-8.31,0.46,14.38,3014.08,14.37,19.09,32.91,9.03,6.9,-23.53,41.68,34.78,86.4929108,89.8518752,12.3477898,8.4699023,-28,57562,88.9,1.3,5.4,NA,662,675,-100,47213,"AL"
"11",1011,"Bullock County"," Alabama","Bullock County",67.5,1.12058231970118,1.39833349296044,18,0.7238104,0,21.0707786610478,5.06,3.05,-39.74,0.64,5.63,781.57,11.31,12.01,6.23,18.21,12,-34.08,32.69,20.69,23.5050771,24.2288875,76.3068823,75.0904063,22,10441,21.9,70,6.9,NA,117,146,-26,34278,"AL"
"12",1013,"Butler County"," Alabama","Butler County",58.8,1.33233158026546,1.18206862008515,7,2.7353958,0,-88.1542699724518,2.59,1.61,-37.98,0.61,6.45,957.13,14.34,17.81,24.17,20.33,16.85,-17.1,42.72,25.87,53.5800907,56.3154865,46.0508278,42.7864134,-176,19965,54.1,43.2,6.9,NA,266,236,-153,35409,"AL"
"13",1015,"Calhoun County"," Alabama","Calhoun County",49.8,1.26108888502348,1.16802922247347,82,3.7725714,0,-45.6601148025744,3.26,1.5,-54.04,0.83,11.51,1293.8,14.92,20.16,35.16,13.31,11.61,-12.8,44.78,33.17,65.467128,69.2396994,33.5207612,27.8558764,-525,114980,73.6,20.4,6.6,NA,1450,1343,-498,41778,"AL"
"14",1017,"Chambers County"," Alabama","Chambers County",59.1,1.32277486134591,1.15075481211258,17,4.4705996,0,-74.4431592371801,3.67,2.35,-36.02,0.67,8.65,1200.14,16.77,16.69,-0.52,18.71,11.04,-40.99,38.73,27.69,52.1631644,56.633764,47.0608433,41.8275512,-251,33717,58.1,38.6,5.5,NA,446,388,-208,39530,"AL"
"15",1019,"Cherokee County"," Alabama","Cherokee County",54.7,1.38166576108049,0.908173562058527,7,7.09635430000001,0,9.70270899635178,2.36,1.33,-43.47,0.63,11.15,1678.21,19.02,25.9,36.22,11.73,5.75,-50.98,44.13,38.38,76.7749206,83.8712749,21.7805553,14.51014,25,25766,92.1,4.6,5.1,NA,356,234,141,41456,"AL"
"16",1021,"Chilton County"," Alabama","Chilton County",61.2,1.06091718001369,1.18412046543463,23,2.7551456,0,28.291124800365,2.39,1.15,-51.71,0.8,12.96,1520.37,16.26,20.21,24.24,10.17,7.2,-29.14,41.52,34.32,79.7866238,82.5417694,19.450499,15.9353602,124,43830,81.1,9.6,5.5,NA,465,519,47,44188,"AL"
"17",1023,"Choctaw County"," Alabama","Choctaw County",58.4,1.27969348659004,1.02681992337165,-2,4.3362351,0,-138.697318007663,3,2.15,-28.31,0.48,6.68,1306.07,12.54,13.05,4.07,16.1,10,-37.9,31.88,21.88,52.1029504,56.4391855,47.5204018,42.7765548,-181,13050,55.6,43.2,8.5,NA,167,134,-147,32691,"AL"
"18",1025,"Clarke County"," Alabama","Clarke County",64.1,1.13757700205339,1.07186858316222,4,0.9810553,0,-147.022587268994,2.79,2.38,-14.46,0.43,5.97,1294.84,13.79,14.42,4.64,16.44,8.64,-47.42,31.41,22.77,53.9741086,54.9551639,45.6859767,44.1558442,-358,24350,54,43.7,10.9,NA,277,261,-345,34061,"AL"
"19",1027,"Clay County"," Alabama","Clay County",60,1.18568232662192,0.976882923191648,0,7.26075939999999,0,-2.98284862043251,2.65,1.95,-26.65,0.48,7.5,1473.68,17.94,18.45,2.85,10.73,6.26,-41.62,34.16,27.9,72.3192771,79.5800365,26.6566265,18.7766281,-4,13410,80.3,14.7,6,NA,159,131,23,38512,"AL"
"20",1029,"Cleburne County"," Alabama","Cleburne County",63.8,1.31782424527668,1.09594567336785,-5,4.2360798,0,-32.9456061319169,3.08,1.51,-51.1,0.66,11.37,1630.81,20.65,26.27,27.2,15.51,9.64,-37.86,48.79,39.15,83.6083783,87.8444581,15.407807,10.4715248,-49,14873,93.2,3.3,6,NA,196,163,-12,43483,"AL"
"21",1031,"Coffee County"," Alabama","Coffee County",44.2,0.937188824023274,1.27691977273171,75,2.89816549999999,0,47.4451842161782,2.46,1.43,-41.8,0.67,5.83,775.62,13.3,14.89,12.02,10.3,4.84,-53.04,26.99,22.15,74.2480345,77.1462,24.8490997,20.4455711,243,51217,72.3,16.5,5.9,NA,480,654,-5,48632,"AL"
"22",1033,"Colbert County"," Alabama","Colbert County",51.4,1.35475914370387,1.19277707217406,3,8.28718780000001,0,-5.70618661070922,1.73,1.69,-2.06,0.46,8.31,1714.06,13.74,21.26,54.7,10.35,8.28,-20,39.54,31.26,59.6004107,67.8875985,39.1888423,29.6272233,-31,54327,79.6,16,7,NA,736,648,54,46572,"AL"
"23",1035,"Conecuh County"," Alabama","Conecuh County",66.8,1.19057131442269,1.0707151418298,2,3.1964109,1,-130.243707550939,3.25,3.13,-3.9,0.79,10.51,1238.54,13.77,21.7,57.6,20.85,14.99,-28.11,50.33,35.34,48.9662056,52.1626165,50.6345359,46.9050894,-163,12515,51.1,46.3,8.4,NA,149,134,-150,29758,"AL"
"24",1037,"Coosa County"," Alabama","Coosa County",63.4,1.25821075030068,0.758627070034231,3,6.883987,0,-105.467665834027,3.5,3.01,-14.02,0.46,10.27,2127.95,16.42,20.1,22.41,16.41,9.47,-42.28,42.85,33.38,57.7531947,64.6371817,41.7318329,34.0800306,-114,10809,65.9,30.8,6,NA,136,82,-64,36441,"AL"
"25",1039,"Covington County"," Alabama","Covington County",53.5,1.31065104584604,1.20098432568341,-3,4.78195969999999,0,-43.8666880650511,2.92,2.25,-22.79,0.78,7.12,810.09,15.75,18.7,18.73,11.51,6.21,-45.99,34.28,28.07,78.8063574,83.5883171,20.4670775,15.039828,-164,37386,84.1,12.4,6.8,NA,490,449,-119,35010,"AL"
"26",1041,"Crenshaw County"," Alabama","Crenshaw County",60.2,1.20083411231754,1.09297476091177,0,4.6751385,0,40.2674911914863,5.92,3.72,-37.11,0.76,7.56,895.54,13.67,17.5,28.03,16.42,11.33,-31,40.11,28.78,67.4777726,72.1529111,31.9450944,26.5994882,56,13907,72.1,23.3,5.9,NA,167,152,71,37374,"AL"
"27",1043,"Cullman County"," Alabama","Cullman County",52.9,1.22931901557299,1.20016520492699,29,3.6282154,0,73.0060008260246,1.27,1.37,7.81,0.34,14.49,4114.92,15.15,19.31,27.45,6.85,4.49,-34.42,39.66,35.17,84.1822895,87.8105049,14.6331907,10.0059016,601,82322,92.7,1,5,NA,1012,988,598,41543,"AL"
"28",1045,"Dale County"," Alabama","Dale County",47.3,1.06037214593321,1.31835540749167,44,3.4719641,0,-23.5638254651824,2.38,1.81,-23.87,0.67,7.8,1058.94,13.91,14.68,5.6,9.96,6.38,-35.97,30.67,24.29,70.643092,74.1150561,28.4782492,23.6772842,-116,49228,71.1,19,5.8,NA,522,649,-285,40523,"AL"
"29",1047,"Dallas County"," Alabama","Dallas County",57.5,1.41713031111998,1.26992839500012,-1,0.865654999999999,0,-214.066515306504,4.25,2.49,-41.5,0.6,6.84,1040.08,11.89,13.88,16.78,18.6,23.62,27.05,46.83,23.21,30.0152847,30.8809397,69.7315629,68.4783769,-858,40081,28.9,69.2,9.2,NA,568,509,-799,30488,"AL"
"30",1049,"DeKalb County"," Alabama","DeKalb County",61.7,1.1177263536284,1.19074365311166,94,6.6668137,0,2.52752190518984,1.93,1.75,-9.54,0.58,10.77,1768.2,14.7,18.67,27.03,9.6,5.76,-40.04,36.95,31.19,76.8224142,83.4892279,21.9570506,14.1148509,18,71216,81.6,1.4,6.1,NA,796,848,-127,37128,"AL"
"31",1051,"Elmore County"," Alabama","Elmore County",48.6,0.958887247661251,1.10290497291974,41,0.845434099999998,0,40.3741999015263,2.01,1.15,-42.59,0.47,6.19,1214.95,14.27,16.73,17.23,11.21,7.11,-36.53,31.18,24.07,73.9926637,74.8380978,25.2257336,22.8586912,328,81240,75,19.9,4.8,NA,779,896,170,54553,"AL"
"32",1053,"Escambia County"," Alabama","Escambia County",62.9,1.41423844593873,1.24879923150817,-2,5.13412750000001,0,-50.9659515423204,3.84,4.4,14.78,0.78,11.19,1333.14,13.94,22.63,62.32,15.15,10.75,-29.07,48.97,38.22,62.4528047,67.5869322,36.9201726,30.8814829,-191,37476,61.3,31.7,6.7,NA,530,468,-126,35096,"AL"
"33",1055,"Etowah County"," Alabama","Etowah County",50,1.39399957167611,1.18373147985904,9,5.41943359999999,0,-21.0268091817067,2.45,1.49,-39.13,0.71,14.28,1917.45,15.45,20.03,29.71,14.49,9.02,-37.74,44.82,35.8,68.4914097,73.9108433,30.1059073,23.8073331,-216,102726,79.3,15,5.9,NA,1432,1216,-4,40972,"AL"
"34",1057,"Fayette County"," Alabama","Fayette County",59.8,1.34840972306204,0.973515539968557,0,5.5442962,0,-90.7002055871327,1.85,2.39,29.27,0.45,16.47,3549.05,15.32,22.49,46.79,9.75,7.11,-27.04,48.46,41.35,76.2639029,81.8081991,22.7881699,16.5690581,-150,16538,86,11.4,6.7,NA,223,161,-88,38403,"AL"
"35",1059,"Franklin County"," Alabama","Franklin County",61,1.15907147607436,1.28574595433385,54,9.4961263,0,34.8354815213605,1.89,1.82,-3.63,0.57,17.26,2948.02,14.97,21.34,42.57,9.68,6.84,-29.33,47.26,40.42,69.684133,79.1802593,29.2015839,18.377248,110,31577,79.6,3.8,5.9,NA,366,406,17,37049,"AL"
"36",1061,"Geneva County"," Alabama","Geneva County",58.3,1.3576708402474,1.07482274852919,-4,4.4397178,0,-46.3870870417861,2.53,1.54,-39.04,0.79,6.46,714.48,15.1,17.75,17.54,12.49,6.82,-45.4,32.57,25.75,81.0478883,85.4876061,18.0155505,13.0542928,-123,26516,84.7,9.4,5.8,NA,360,285,-43,36976,"AL"
"37",1063,"Greene County"," Alabama","Greene County",64.1,1.15457115928369,1.10744580584354,-1,2.2394593,0,-25.9189443920829,3.32,2.46,-25.97,0.37,6.91,1744.09,12.34,17.11,38.63,30.1,21.48,-28.64,47.96,26.48,14.9962462,17.2357055,84.7222222,82.3940765,-22,8488,17.3,81.2,10,NA,98,94,-15,26559,"AL"
"38",1065,"Hale County"," Alabama","Hale County",61.4,1.21236613457264,1.33360274802991,-1,2.4539996,0,-115.174782784401,2.67,1.58,-40.76,0.39,6.58,1593.96,10.72,13.76,28.35,17.51,12.37,-29.37,34.29,21.92,37.1464998,39.6004994,62.5985165,59.5755306,-171,14847,39.4,58.8,7.7,NA,180,198,-190,35381,"AL"
"39",1067,"Henry County"," Alabama","Henry County",55.4,1.29885326468523,1.08237772057103,4,5.7131684,0,-5.85069038146501,3.36,1.79,-46.83,0.72,6.31,781.63,15.73,16.02,1.8,16.38,7.69,-53.05,31.81,24.12,64.4252874,70.1384558,35.0114943,28.5144069,-10,17092,67.8,28.4,6.5,NA,222,185,22,41426,"AL"
"40",1069,"Houston County"," Alabama","Houston County",47.2,1.06169544891671,1.25944342583971,32,2.9084941,0,-7.29555643016904,2.45,2.25,-8.04,0.76,9.57,1162.07,12.71,13.61,7.06,12.38,6.79,-45.16,32.22,25.43,69.8181297,72.7266238,29.5103124,25.0939805,-76,104173,68.7,25.6,5.8,NA,1106,1312,-310,42910,"AL"
"41",1071,"Jackson County"," Alabama","Jackson County",61.6,1.40636707717728,1.08551557186497,27,9.90919,0,-30.3560106822417,2.57,2.23,-13.19,0.55,10.29,1778.98,13.47,21.97,63.08,9.18,6.36,-30.65,40.85,34.49,70.1629774,80.0721674,28.2996838,17.623286,-158,52049,90.1,3.3,6.3,NA,732,565,-16,41407,"AL"
"42",1073,"Jefferson County"," Alabama","Jefferson County",37.5,1.07829213319651,1.31019921272852,753,-1.583662,0,-5.15349065626672,4.96,3.71,-25.13,0.87,22.64,2508.44,15.41,15.33,-0.52,22.7,14.92,-34.27,56.6,41.68,46.6057398,45.0220778,52.6187777,52.2493115,-340,659747,51.7,41.8,5.7,NA,7114,8644,-2614,50109,"AL"
"43",1075,"Lamar County"," Alabama","Lamar County",58,1.44096350992903,1.08251487561832,3,7.786283,0,12.9041508351853,1.73,1.27,-26.74,0.48,9.57,1883.2,13.23,16.33,23.39,6.86,4.3,-37.39,31.47,27.17,76.1698561,83.9561391,22.9501327,14.9329101,18,13949,86.1,11.2,5.6,NA,201,151,65,38358,"AL"
"44",1077,"Lauderdale County"," Alabama","Lauderdale County",49.7,1.24459753680174,1.00737659636694,14,6.69698919999999,0,-11.1569666049242,2.46,2.15,-12.8,0.51,10.38,1950.8,12.86,17.34,34.86,9.23,6.56,-28.87,36.43,29.87,64.7610274,71.4580166,33.8788339,25.4476593,-103,92319,85.5,9.9,6.4,NA,1149,930,104,44124,"AL"
"45",1079,"Lawrence County"," Alabama","Lawrence County",62.4,1.16153105440539,1.0953298025999,-3,10.496141,0,28.5869041887338,2.08,1.9,-8.87,0.52,13.83,2539.51,14.45,22.84,57.98,12.82,8.09,-36.89,46.66,38.57,62.895092,73.391233,35.9045387,24.6939752,95,33232,76.9,11.4,6.9,NA,386,364,121,43107,"AL"
"46",1081,"Lee County"," Alabama","Lee County",35.8,0.643465024562375,1.23032022291692,572,0.266910900000006,0,141.084266871301,4.05,1.73,-57.27,0.63,5.41,752.19,12.43,12.93,3.98,10.09,7.02,-30.43,27.09,20.07,59.247898,59.5148089,39.3125751,36.3928002,2243,158983,69.8,22.6,5.2,NA,1023,1956,735,47749,"AL"
